20421,19635,16498,16947,20421,19635,16498,16947
20422,19635,16499,16946,20421,19635,16498,16947
20421,19635,16498,16947,20421,19635,16496,16946
20421,19635,16499,16948,20421,19635,16498,16947
20421,19635,16498,16947,20421,19635,16498,16947
20421,19635,16498,16947,20421,19635,16498,16947
20421,19635,16497,16949,20421,19635,16497,16948
20421,19635,16498,16947,20421,19635,16498,16947
20421,19635,16498,16947,20421,19635,16498,16947
20421,19635,16497,16948,20421,19635,16499,16946
20421,19635,16498,16947,20421,19635,16498,16947
20421,19635,16498,16947,20421,19635,16498,16948
20421,19635,16499,16946,20421,19635,16497,16947
